CASEID,MARITAL,AGEWED,DIVORCE,WIDOWED
  339,1,18,2,0
  340,1,17,2,0
  341,5, 0,0,0
  342,1,15,1,0
  343,1,18,1,0
  344,1,20,2,0
  345,2,18,2,0
  346,2,21,1,0
  347,1,19,9,0
  348,1,19,2,0
  349,1,21,2,0
  350,2,17,1,0
  351,5, 0,0,0
  352,1,19,2,0
  353,1,22,2,0
  354,1,14,2,0
  355,1,18,2,0
  356,1,16,2,0
  357,1,20,2,0
  358,1,19,9,0
  359,1,21,2,0
  360,3,23,0,0
  361,2,21,2,0
  362,1,21,2,0
  363,1,23,1,0
  364,1,18,2,0
  365,1,19,2,0
  366,1,22,2,0
  367,1,19,2,0
  368,1,39,2,0
  369,1,22,2,0
  370,2,17,2,0
  371,1,21,2,0
  372,1,22,2,0
  373,2,20,1,0
  374,1,20,2,0
  375,5, 0,0,0
  376,1,25,2,0
  377,1,20,2,0
  378,1,37,2,0
  379,1,21,2,0
  380,1,30,2,0
  381,1,26,2,0
  382,2,25,2,0
  383,1,27,2,0
  384,2,23,2,0
  385,1,20,2,0
  386,1,21,2,0
  387,1,17,1,0
  388,1,23,2,0
  389,1,20,2,0
  390,1,24,1,0
  391,5, 0,0,0
  392,2,17,2,0
  393,2,19,2,0
  394,4,15,0,0
  395,4,22,0,0
  396,3,18,0,0
  397,1,24,2,0
  398,5, 0,0,0
  399,4,28,0,0
  400,1,18,1,0
  401,5, 0,0,0
  402,1,29,2,0
  403,1,25,2,0
  404,1,26,2,0
  405,1,19,2,0
  406,1,99,2,0
  407,1,22,2,0
  408,1,21,2,0
  409,2,19,2,0
  410,1,20,2,0
  411,1,24,2,0
  412,1,23,2,0
  413,1,18,2,0
  414,1,21,2,0
  415,5, 0,0,0
  416,1,19,2,0
  417,1,24,2,0
  418,5, 0,0,0
  419,1,27,2,0
  420,5, 0,0,0
  421,1,22,2,0
  422,1,23,2,0
  423,1,20,2,0
  424,1,20,2,0
  425,2,24,2,0
  426,1,18,2,0
  427,5, 0,0,0
  428,1,29,2,0
  429,1,36,2,0
  430,1,20,2,0
  431,1,22,1,0
  432,2,20,1,0
  433,5, 0,0,0
  434,2,24,2,0
  435,5, 0,0,0
  436,2,28,2,0
  437,1,26,2,0
  438,1,21,2,0
  439,1,27,1,0
  440,1,19,1,0
  441,1,18,2,0
  442,1,21,1,0
  443,1,24,2,0
  444,1,24,1,0
  445,1,16,1,0
  446,5, 0,0,0
  447,5, 0,0,0
  448,1,26,2,0
  449,1,20,1,0
  450,1,20,2,0
  451,5, 0,0,0
  452,1,20,9,0
  453,1,19,1,0
  454,1,23,1,0
  455,1,22,2,0
  456,2,20,2,0
  457,1,18,2,0
  458,1,20,2,0
  459,5, 0,0,0
  460,1,18,2,0
  461,2,27,2,0
  462,3,20,0,0
  463,5, 0,0,0
  464,1,25,1,0
  465,1,20,1,0
  466,1,23,2,0
  467,1,15,2,0
  468,1,15,2,0
  469,5, 0,0,0
  470,1,23,2,0
  471,1,19,2,0
  472,1,23,9,0
  473,1,18,2,0
  474,1,22,2,0
  475,1,20,2,0
  476,1,29,2,0
  477,1,21,2,0
  478,1,18,2,0
  479,5, 0,0,0
  480,1,22,2,0
  481,5, 0,0,0
  482,2,42,2,0
  483,2,19,2,0
  484,1,24,2,0
  485,1,22,2,0
  486,1,23,2,0
  487,1,24,2,0
  488,1,21,1,0
  489,1,17,2,0
  490,2,17,2,0
  491,5, 0,0,0
  492,1,17,2,0
  493,1,18,2,0
  494,1,23,2,0
  495,1,39,2,0
  496,5, 0,0,0
  497,1,21,2,0
  498,1,24,2,0
  499,1,24,2,0
  500,1,20,2,0
  501,1,21,2,0
  502,1,33,2,0
  503,4,21,0,0
  504,1,25,2,0
  505,1,18,2,0
  506,1,28,2,0
  507,1,18,2,0
  508,1,27,2,0
  509,1,22,2,0
  510,5, 0,0,0
  511,1,22,2,0
  512,1,22,2,0
  513,5, 0,0,0
  514,1,25,2,0
  515,1,23,2,0
  516,1,18,2,0
  517,1,17,2,0
  518,1,19,2,0
  519,1,27,2,0
  520,1,24,2,0
  521,1,20,2,0
  522,1,20,2,0
  523,1,21,2,0
  524,2,19,2,0
  525,1,21,9,0
  526,2,21,2,0
  527,2,26,2,0
  528,1,18,9,0
  529,1,35,2,0
  530,1,15,2,0
  531,1,29,2,0
  532,1,21,2,0
  533,5, 0,0,0
  534,5, 0,0,0
  535,1,26,2,0
  536,1,23,1,0
  537,1,29,2,0
  538,1,40,2,0
  539,1,25,2,0
  540,1,22,2,0
  541,1,19,2,0
  542,4,23,0,0
  543,1,28,2,0
  544,1,18,2,0
  545,1,23,2,0
  546,1,23,2,0
  547,1,23,2,0
  548,1,23,2,0
  549,1,17,2,0
  550,1,18,2,0
  551,1,28,2,0
  552,1,21,2,0
  553,1,22,2,0
  554,1,22,2,0
  555,1,20,2,0
  556,2,21,2,0
  557,2,18,2,0
  558,2,24,2,0
  559,3,17,0,0
  560,5, 0,0,0
  561,1,14,2,0
  562,1,20,2,0
  563,1,18,2,0
  564,1,23,2,0
  565,1,21,2,0
  566,5, 0,0,0
  567,1,15,2,0
  568,1,25,2,0
  569,1,21,1,0
  570,2,17,2,0
  571,1,18,2,0
  572,5, 0,0,0
  573,1,29,2,0
  574,2,28,2,0
  575,1,22,2,0
  576,5, 0,0,0
  577,1,27,2,0
  578,1,19,2,0
  579,1,24,2,0
  580,1,20,2,0
  581,1,26,2,0
  582,1,17,2,0
  583,1,40,2,0
  584,1,32,2,0
  585,1,30,2,0
  586,1,22,2,0
  587,1,21,2,0
  588,1,23,2,0
  589,1,21,2,0
  590,1,21,2,0
  591,1,23,2,0
  592,5, 0,0,0
  593,1,19,2,0
  594,1,23,2,0
  595,1,17,2,0
  596,1,20,2,0
  597,3,17,0,0
  598,1,18,2,0
  599,5, 0,0,0
  600,3,19,0,0
  601,1,19,2,0
  602,1,23,2,0
  603,1,16,2,0
  604,1,18,2,0
  605,1,20,2,0
  606,1,21,2,0
  607,1,24,2,0
  608,1,18,1,0
  609,2,45,2,0
  610,1,24,2,0
  611,4,19,0,0
  612,1,15,2,0
  613,1,21,1,0
  614,1,18,2,0
  615,1,32,1,0
  616,1,21,1,0
  617,1,20,2,0
  618,1,16,2,0
  619,1,33,2,0
  620,1,33,2,0
  621,1,19,2,0
  622,1,36,2,0
  623,1,24,2,0
  624,1,30,2,0
  625,5, 0,0,0
  626,1,20,2,0
  627,5, 0,0,0
  628,1,28,2,0
  629,1,21,2,0
  630,1,21,2,0
  631,1,32,2,0
  632,1,20,2,0
  633,1,20,2,0
  634,1,27,1,0
  635,1,24,2,0
  636,1,19,2,0
  637,1,22,1,0
  638,1,23,2,0
  639,1,18,2,0
  640,5, 0,0,0
  641,2,20,1,0
  642,1,20,2,0
  643,1,19,2,0
  644,1,24,2,0
  645,1,21,1,0
  646,1,25,2,0
  647,1,23,2,0
  648,1,18,2,0
  649,1,26,2,0
  650,3,16,0,0
  651,1,19,2,0
  652,1,16,2,0
  653,1,16,2,0
  654,3,21,0,0
  655,2,18,1,0
  656,1,13,1,0
  657,3,18,0,0
  658,1,19,1,0
  659,2,18,2,0
  660,1,21,2,0
  661,1,26,2,0
  662,1,21,1,0
  663,4,21,0,0
  664,1,20,2,0
  665,1,28,2,0
  666,5, 0,0,0
  667,1,19,1,0
  668,5, 0,0,0
  669,1,25,2,0
  670,1,39,2,0
  671,1,46,2,0
  672,5, 0,0,0
  673,1,19,2,0
  674,2,19,2,0
  675,1,17,2,0
  676,1,25,2,0
  677,1,20,1,0
  678,1,20,2,0
  679,1,21,2,0
  680,1,20,2,0
  681,1,21,2,0
  682,2,19,2,0
  683,1,20,1,0
  684,2,22,2,0
  685,1,22,1,0
  686,1,24,2,0
  687,1,27,2,0
  688,1,23,2,0
  689,5, 0,0,0
  690,5, 0,0,0
  691,1,27,2,0
  692,1,16,2,0
  693,5, 0,0,0
  694,3,25,0,0
  695,3,19,0,0
  696,1,31,2,0
  697,2,22,2,0
  698,1,23,2,0
  699,1,46,2,0
  700,1,20,2,0
  701,1,20,2,0
  702,5, 0,0,0
  703,1,25,2,0
  704,1,22,2,0
  705,1,19,2,0
  706,1,18,2,0
  707,1,22,2,0
  708,1,25,2,0
  709,1,30,1,0
  710,5, 0,0,0
  711,2,30,2,0
  712,1,20,2,0
  713,1,19,2,0
  714,1,21,2,0
  715,1,19,2,0
  716,1,19,2,0
  717,5, 0,0,0
  718,1,27,2,0
  719,1,24,2,0
  720,1,21,2,0
  721,1,22,2,0
  722,2,18,2,0
  723,1,22,2,0
  724,1,23,2,0
  725,1,16,2,0
  726,2,23,2,0
  727,5, 0,0,0
  728,1,27,2,0
  729,1,21,2,0
  730,1,18,2,0
  731,1,24,2,0
  732,1,23,2,0
  733,1,27,1,0
  734,3,18,0,0
  735,1,25,2,0
  736,1,19,2,0
  737,1,16,2,0
  738,1,19,2,0
  739,1,19,2,0
  740,1,18,2,0
  741,1,21,2,0
  742,1,27,2,0
  743,1,21,2,0
  744,1,21,2,0
  745,1,21,2,0
  746,2,18,2,0
  747,5, 0,0,0
  748,1,19,2,0
  749,1,25,2,0
  750,2,16,1,0
  751,2,21,2,0
  752,3,17,0,0
  753,5, 0,0,0
  754,1,27,2,0
  755,1,26,2,0
  756,1,18,2,0
  757,5, 0,0,0
  758,1,21,2,0
  759,1,34,2,0
  760,1,22,2,0
  761,1,22,2,0
  762,5, 0,0,0
  763,2,21,2,0
  764,5, 0,0,0
  765,1,26,2,0
  766,1,22,2,0
  767,1,17,2,0
  768,1,36,2,0
  769,1,19,2,0
  770,1,23,1,0
  771,3,17,0,0
  772,1,23,2,0
  773,1,22,2,0
  774,1,21,2,0
  775,5, 0,0,0
  776,1,21,1,0
  777,1,21,2,0
  778,1,22,2,0
  779,2,35,2,0
  780,1,22,2,0
  781,1,21,2,0
  782,3,19,0,0
  783,1,19,2,0
  784,1,18,1,0
  785,3,22,0,0
  786,1,17,2,0
  787,3,19,0,0
  788,2,13,9,0
  789,5, 0,0,0
  790,5, 0,0,0
  791,1,23,2,0
  792,1,22,2,0
  793,1,18,9,0
  794,5, 0,0,0
  795,1,25,2,0
  796,1,23,2,0
  797,1,20,1,0
  798,1,99,1,0
  799,1,19,2,0
  800,1,19,2,0
  801,1,19,2,0
  802,2,38,2,0
  803,1,31,2,0
  804,1,22,2,0
  805,2,23,1,0
  806,1,19,2,0
  807,2,25,1,0
  808,5, 0,0,0
  809,1,28,1,0
  810,1,22,2,0
  811,1,30,2,0
  812,1,21,2,0
  813,1,16,2,0
  814,1,19,2,0
  815,1,18,2,0
  816,4,21,0,0
  817,1,30,1,0
  818,1,18,2,0
  819,1,20,2,0
  820,1,17,2,0
  821,1,20,2,0
  822,1,20,2,0
  823,5, 0,0,0
  824,1,20,2,0
  825,1,20,2,0
  826,1,19,1,0
  827,1,23,2,0
  828,1,22,1,0
  829,1,21,9,0
  830,1,19,1,0
  831,1,25,2,0
  832,1,22,2,0
  833,1,22,2,0
  834,1,21,2,0
  835,1,21,2,0
  836,5, 0,0,0
  837,5, 0,0,0
  838,2,29,2,0
  839,1,29,2,0
  840,2,22,2,0
  841,1,28,2,0
  842,1,28,2,0
  843,5, 0,0,0
  844,2,21,2,0
  845,2,23,2,0
  846,1,25,2,0
  847,1,22,2,0
  848,1,21,2,0
  849,1,22,2,0
  850,1,18,2,0
  851,2,31,2,0
  852,3,21,0,0
  853,1,21,2,0
  854,1,15,2,0
  855,1,21,2,0
  856,5, 0,0,0
  857,5, 0,0,0
  858,1,25,2,0
  859,1,16,1,0
  860,3,16,0,0
  861,1,22,2,0
  862,1,24,2,0
  863,1,17,2,0
  864,5, 0,0,0
  865,2,21,2,0
  866,5, 0,0,0
  867,1,30,2,0
  868,1,34,2,0
  869,1,26,2,0
  870,1,30,2,0
  871,1,22,2,0
  872,1,31,2,0
  873,1,26,2,0
  874,1,28,2,0
  875,1,20,2,0
  876,1,19,9,0
  877,1,27,2,0
  878,1,20,9,0
  879,1,22,2,0
  880,1,21,2,0
  881,1,20,2,0
  882,5, 0,0,0
  883,2,17,2,0
  884,5, 0,0,0
  885,1,27,2,0
  886,4,34,0,0
  887,1,19,1,0
  888,1,22,2,0
  889,1,58,2,0
  890,5, 0,0,0
  891,1,21,2,0
  892,1,24,2,0
  893,1,20,2,0
  894,5, 0,0,0
  895,1,32,2,0
  896,3,21,0,0
  897,1,26,1,0
  898,3,21,0,0
  899,1,19,9,0
  900,1,21,2,0
  901,1,20,2,0
  902,1,30,2,0
  903,1,21,2,0
  904,5, 0,0,0
  905,1,22,2,0
  906,1,21,2,0
  907,1,25,2,0
  908,2,18,1,0
  909,3,99,0,0
  910,1,39,2,0
  911,2,14,1,0
  912,4,17,0,0
  913,3,18,0,0
  914,5, 0,0,0
  915,1,26,2,0
  916,1,20,2,0
  917,1,26,2,0
  918,1,20,9,0
  919,1,21,2,0
  920,1,22,2,0
  921,1,27,2,0
  922,5, 0,0,0
  923,1,23,2,0
  924,2,24,1,0
  925,2,18,1,0
  926,1,38,2,0
  927,1,18,1,0
  928,1,19,2,0
  929,1,30,2,0
  930,3,20,0,0
  931,1,17,1,0
  932,1,33,2,0
  933,1,19,2,0
  934,1,24,2,0
  935,1,25,2,0
  936,1,18,2,0
  937,1,18,2,0
  938,1,19,2,0
  939,1,21,2,0
  940,1,21,2,0
  941,1,16,1,0
  942,1,18,2,0
  943,1,18,2,0
  944,1,21,2,0
  945,1,23,2,0
  946,3,19,0,0
  947,1,20,2,0
  948,5, 0,0,0
  949,1,22,1,0
  950,2,21,2,0
  951,5, 0,0,0
  952,5, 0,0,0
  953,5, 0,0,0
  954,1,18,2,0
  955,5, 0,0,0
  956,1,21,2,0
  957,3,25,0,0
  958,1,21,2,0
  959,2,24,1,0
  960,2,23,2,0
  961,3,17,0,0
  962,1,21,2,0
  963,5, 0,0,0
  964,5, 0,0,0
  965,1,28,2,0
  966,2,22,2,0
  967,1,23,2,0
  968,1,16,1,0
  969,1,21,1,0
  970,1,18,2,0
  971,1,21,2,0
  972,1,21,1,0
  973,5, 0,0,0
  974,5, 0,0,0
  975,1,24,2,0
  976,1,17,2,0
  977,5, 0,0,0
  978,1,17,2,0
  979,1,99,9,0
  980,1,17,1,0
  981,1,99,9,0
  982,1,27,2,0
  983,2,20,2,0
  984,1,21,2,0
  985,1,20,2,0
  986,1,20,2,0
  987,1,29,2,0
  988,2,18,1,0
  989,1,26,1,0
  990,1,28,1,0
  991,2,22,2,0
  992,1,21,2,0
  993,1,21,1,0
  994,5, 0,0,0
  995,1,35,2,0
  996,3,26,0,0
  997,1,24,2,0
  998,1,18,2,0
  999,1,18,2,0
 1000,1,16,1,0
 1001,2,16,1,0
 1002,1,22,2,0
 1003,1,20,2,0
 1004,1,19,2,0
 1005,5, 0,0,0
 1006,1,28,1,0
 1007,1,15,2,0
 1008,1,28,1,0
 1009,1,20,1,0
 1010,1,17,2,0
 1011,1,21,2,0
 1012,4,19,0,0
 1013,1,22,2,0
 1014,1,26,2,0
 1015,1,16,1,0
 1016,1,18,2,0
 1017,5, 0,0,0
 1018,5, 0,0,0
 1019,1,18,1,0
 1020,1,21,1,0
 1021,1,21,2,0
 1022,1,22,2,0
 1023,1,21,2,0
 1024,1,26,2,0
 1025,1,18,2,0
 1026,1,25,2,0
 1027,1,23,1,0
 1028,1,25,2,0
 1029,1,18,2,0
 1030,5, 0,0,0
 1031,2,17,2,0
 1032,1,21,1,0
 1033,1,20,2,0
 1034,1,20,2,0
 1035,1,23,9,0
 1036,1,17,2,0
 1037,1,26,1,0
 1038,1,23,2,0
 1039,1,19,1,0
 1040,1,20,2,0
 1041,1,99,2,0
 1042,1,20,2,0
 1043,2,23,2,0
 1044,5, 0,0,0
 1045,1,23,2,0
 1046,1,20,2,0
 1047,1,14,9,0
 1048,4,18,0,0
 1049,1,23,2,0
 1050,5, 0,0,0
 1051,1,19,2,0
 1052,1,24,2,0
 1053,1,21,9,0
 1054,4,20,0,0
 1055,1,20,2,0
 1056,1,28,2,0
 1057,1,20,2,0
 1058,5, 0,0,0
 1059,1,39,2,0
 1060,1,21,2,0
 1061,1,22,2,0
 1062,1,28,2,0
 1063,1,22,2,0
 1064,1,26,2,0
 1065,1,20,9,0
 1066,1,28,2,0
 1067,1,21,2,0
 1068,3,18,0,0
 1069,1,22,2,0
 1070,5, 0,0,0
 1071,5, 0,0,0
 1072,1,17,2,0
 1073,1,27,2,0
 1074,1,20,1,0
 1075,1,22,2,0
 1076,1,23,2,0
 1077,1,22,2,0
 1078,1,25,2,0
 1079,1,22,9,0
 1080,1,26,2,0
 1081,2,25,2,0
 1082,1,20,2,0
 1083,5, 0,0,0
 1084,1,19,2,0
 1085,1,20,2,0
 1086,3,25,0,0
 1087,1,19,2,0
 1088,1,26,2,0
 1089,2,33,2,0
 1090,2,24,9,0
 1091,1,22,2,0
 1092,1,21,9,0
 1093,1,28,2,0
 1094,1,31,2,0
 1095,3,26,0,0
 1096,1,22,2,0
 1097,1,25,2,0
 1098,1,22,2,0
 1099,1,23,2,0
 1100,1,19,1,0
 1101,5, 0,0,0
 1102,1,30,1,0
 1103,1,28,2,0
 1104,1,21,1,0
 1105,1,24,1,0
 1106,1,26,2,0
 1107,1,19,2,0
 1108,5, 0,0,0
 1109,1,28,9,0
 1110,5, 0,0,0
 1111,1,18,9,0
 1112,1,19,1,0
 1113,1,18,2,0
 1114,1,18,9,0
 1115,4,18,0,0
 1116,1,19,2,0
 1117,1,19,2,0
 1118,1,58,1,0
 1119,1,20,1,0
 1120,1,20,2,0
 1121,1,23,2,0
 1122,1,30,1,0
 1123,1,20,2,0
 1124,2,19,1,0
 1125,5, 0,0,0
 1126,5, 0,0,0
 1127,3,30,0,0
 1128,1,20,2,0
 1129,2,24,2,0
 1130,1,27,9,0
 1131,1,23,9,0
 1132,1,22,2,0
 1133,1,29,2,0
 1134,4,29,0,0
 1135,1,20,2,0
 1136,1,21,2,0
 1137,1,28,2,0
 1138,5, 0,0,0
 1139,1,22,2,0
 1140,1,20,2,0
 1141,1,29,2,0
 1142,5, 0,0,0
 1143,5, 0,0,0
 1144,5, 0,0,0
 1145,1,18,2,0
 1146,1,22,2,0
 1147,1,22,2,0
 1148,1,22,2,0
 1149,1,24,2,0
 1150,1,20,2,0
 1151,3,18,0,0
 1152,1,19,1,0
 1153,1,17,2,0
 1154,1,17,2,0
 1155,1,22,2,0
 1156,1,26,2,0
 1157,1,20,2,0
 1158,1,22,2,0
 1159,1,24,2,0
 1160,1,26,2,0
 1161,1,22,2,0
 1162,3,23,0,0
 1163,1,19,2,0
 1164,1,21,2,0
 1165,1,18,1,0
 1166,5, 0,0,0
 1167,1,18,1,0
 1168,1,24,2,0
 1169,1,19,1,0
 1170,1,19,2,0
 1171,5, 0,0,0
 1172,1,17,2,0
 1173,2,22,2,0
 1174,2,25,2,0
 1175,1,28,2,0
 1176,1,23,1,0
 1177,1,25,2,0
 1178,1,21,2,0
 1179,5, 0,0,0
 1180,2,17,1,0
 1181,1,18,2,0
 1182,1,21,2,0
 1183,2,21,2,0
 1184,1,48,2,0
 1185,1,20,1,0
 1186,1,23,2,0
 1187,1,24,2,0
 1188,3,13,0,0
 1189,1,18,2,0
 1190,2,14,2,0
 1191,4,32,0,0
 1192,1,21,2,0
 1193,1,23,1,0
 1194,5, 0,0,0
 1195,1,20,2,0
 1196,1,19,2,0
 1197,5, 0,0,0
 1198,1,20,2,0
 1199,2,19,2,0
 1200,2,27,2,0
 1201,2,21,2,0
 1202,1,31,2,0
 1203,1,31,2,0
 1204,1,18,2,0
 1205,1,18,2,0
 1206,1,16,2,0
 1207,1,17,2,0
 1208,1,19,2,0
 1209,1,18,2,0
 1210,1,19,1,0
 1211,1,25,2,0
 1212,5, 0,0,0
 1213,1,18,2,0
 1214,4,22,0,0
 1215,2,15,2,0
 1216,5, 0,0,0
 1217,5, 0,0,0
 1218,1,20,9,0
 1219,1,21,2,0
 1220,1,29,2,0
 1221,1,20,2,0
 1222,1,22,2,0
 1223,2,25,2,0
 1224,1,18,2,0
 1225,2,24,2,0
 1226,1,19,2,0
 1227,5, 0,0,0
 1228,1,16,2,0
 1229,2,21,2,0
 1230,2,16,2,0
 1231,1,25,2,0
